tweet_text,label
This is awesome,0
You are disgusting,1
You did a great job,0
You are a loser,1
You are a loser,1
You are amazing,0
You are a loser,1
You are a loser,1
You are the worst person ever,1
Nobody likes you,1
Have a great day,0
You are the worst person ever,1
That was a good idea,0
I appreciate your effort,0
Let's work together,0
Have a great day,0
You are so stupid,1
You are the worst person ever,1
You are so stupid,1
"Keep going, you can do it",0
You are a loser,1
Go away idiot,1
You are useless,1
You did a great job,0
Let's work together,0
I really like this,0
This is very helpful,0
That was a good idea,0
Nobody likes you,1
I appreciate your effort,0
You are disgusting,1
I appreciate your effort,0
"Shut up, no one cares",1
You are pathetic,1
You should disappear,1
This is awesome,0
You did a great job,0
This is awesome,0
I really like this,0
Nobody likes you,1
You are a loser,1
You are disgusting,1
You are amazing,0
You did a great job,0
This is awesome,0
That was a good idea,0
You are pathetic,1
You are pathetic,1
You are a loser,1
Have a great day,0
"Shut up, no one cares",1
Have a great day,0
This is awesome,0
That was a good idea,0
You are amazing,0
You are pathetic,1
I appreciate your effort,0
You are useless,1
"Keep going, you can do it",0
I really like this,0
I appreciate your effort,0
This is very helpful,0
You are a loser,1
That was a good idea,0
Let's work together,0
You are the worst person ever,1
I really like this,0
This is very helpful,0
You should disappear,1
You are disgusting,1
This is very helpful,0
You are amazing,0
"Shut up, no one cares",1
You are useless,1
This is awesome,0
You are a loser,1
You are so stupid,1
You are so stupid,1
"Keep going, you can do it",0
That was a good idea,0
You are the worst person ever,1
I appreciate your effort,0
"Shut up, no one cares",1
Have a great day,0
You are a loser,1
You should disappear,1
You are useless,1
Have a great day,0
I appreciate your effort,0
You are disgusting,1
You did a great job,0
Have a great day,0
"Shut up, no one cares",1
You are pathetic,1
You are a loser,1
This is very helpful,0
You did a great job,0
I appreciate your effort,0
"Keep going, you can do it",0
I really like this,0
Have a great day,0
I really like this,0
You are useless,1
This is very helpful,0
You should disappear,1
You are so stupid,1
"Shut up, no one cares",1
You are disgusting,1
Have a great day,0
"Shut up, no one cares",1
Let's work together,0
"Keep going, you can do it",0
You are disgusting,1
You are amazing,0
You did a great job,0
You are amazing,0
"Keep going, you can do it",0
You are the worst person ever,1
You are the worst person ever,1
Go away idiot,1
This is very helpful,0
I appreciate your effort,0
You are amazing,0
You are a loser,1
Let's work together,0
I really like this,0
You are disgusting,1
You did a great job,0
This is very helpful,0
Nobody likes you,1
You are pathetic,1
I really like this,0
Have a great day,0
"Keep going, you can do it",0
"Shut up, no one cares",1
You should disappear,1
You are the worst person ever,1
I appreciate your effort,0
"Shut up, no one cares",1
You should disappear,1
You are disgusting,1
You did a great job,0
I really like this,0
"Shut up, no one cares",1
You are useless,1
You did a great job,0
Have a great day,0
This is awesome,0
You are useless,1
You are the worst person ever,1
You are a loser,1
Have a great day,0
This is awesome,0
You are useless,1
You should disappear,1
Let's work together,0
I really like this,0
You are the worst person ever,1
You are so stupid,1
You are disgusting,1
This is very helpful,0
You are a loser,1
You are pathetic,1
You are so stupid,1
You did a great job,0
You should disappear,1
You did a great job,0
You are disgusting,1
You are useless,1
Let's work together,0
This is very helpful,0
I appreciate your effort,0
This is awesome,0
You are so stupid,1
You are a loser,1
Nobody likes you,1
You should disappear,1
That was a good idea,0
You are pathetic,1
You did a great job,0
"Shut up, no one cares",1
This is very helpful,0
This is very helpful,0
You are a loser,1
You are the worst person ever,1
"Shut up, no one cares",1
You are a loser,1
You are amazing,0
You should disappear,1
I appreciate your effort,0
Have a great day,0
"Keep going, you can do it",0
I appreciate your effort,0
This is awesome,0
You are useless,1
You are the worst person ever,1
Have a great day,0
You did a great job,0
That was a good idea,0
"Keep going, you can do it",0
You are amazing,0
That was a good idea,0
Have a great day,0
You are useless,1
This is awesome,0
You are amazing,0
You are so stupid,1
Let's work together,0
"Shut up, no one cares",1
That was a good idea,0
"Keep going, you can do it",0
You should disappear,1
You are a loser,1
You are amazing,0
Go away idiot,1
I really like this,0
Go away idiot,1
You are amazing,0
Go away idiot,1
You are a loser,1
You are disgusting,1
This is very helpful,0
Go away idiot,1
You did a great job,0
Have a great day,0
"Shut up, no one cares",1
This is awesome,0
Have a great day,0
You are amazing,0
Nobody likes you,1
You are amazing,0
Let's work together,0
You are the worst person ever,1
You are useless,1
I really like this,0
I appreciate your effort,0
You did a great job,0
This is very helpful,0
This is very helpful,0
You are useless,1
You are pathetic,1
Have a great day,0
I appreciate your effort,0
You are disgusting,1
"Shut up, no one cares",1
You are so stupid,1
This is awesome,0
You should disappear,1
Let's work together,0
You are pathetic,1
This is awesome,0
I really like this,0
I appreciate your effort,0
You should disappear,1
I appreciate your effort,0
You should disappear,1
You are a loser,1
You are disgusting,1
This is awesome,0
"Shut up, no one cares",1
You are a loser,1
Let's work together,0
This is very helpful,0
You are so stupid,1
You should disappear,1
"Keep going, you can do it",0
"Shut up, no one cares",1
This is very helpful,0
This is very helpful,0
I really like this,0
You are so stupid,1
You are the worst person ever,1
"Keep going, you can do it",0
This is very helpful,0
Have a great day,0
Have a great day,0
I really like this,0
That was a good idea,0
You are pathetic,1
This is awesome,0
This is very helpful,0
You are a loser,1
I appreciate your effort,0
Let's work together,0
You did a great job,0
That was a good idea,0
This is awesome,0
I really like this,0
Let's work together,0
Nobody likes you,1
You are so stupid,1
Let's work together,0
You are pathetic,1
You are so stupid,1
This is very helpful,0
I really like this,0
That was a good idea,0
You are pathetic,1
This is awesome,0
You are disgusting,1
You did a great job,0
Let's work together,0
You are so stupid,1
You did a great job,0
"Keep going, you can do it",0
You are useless,1
You are disgusting,1
You are pathetic,1
You are useless,1
You are amazing,0
You are useless,1
That was a good idea,0
You are useless,1
Have a great day,0
Nobody likes you,1
Have a great day,0
That was a good idea,0
That was a good idea,0
"Keep going, you can do it",0
This is very helpful,0
This is very helpful,0
You are useless,1
I really like this,0
Have a great day,0
I appreciate your effort,0
You did a great job,0
You did a great job,0
Go away idiot,1
You are useless,1
Nobody likes you,1
"Keep going, you can do it",0
"Shut up, no one cares",1
Go away idiot,1
You are amazing,0
You are pathetic,1
I appreciate your effort,0
I appreciate your effort,0
I appreciate your effort,0
You are useless,1
Nobody likes you,1
You are the worst person ever,1
You are amazing,0
"Keep going, you can do it",0
Let's work together,0
Go away idiot,1
This is very helpful,0
That was a good idea,0
You are the worst person ever,1
"Shut up, no one cares",1
That was a good idea,0
You are so stupid,1
Let's work together,0
"Shut up, no one cares",1
I appreciate your effort,0
Go away idiot,1
I appreciate your effort,0
This is awesome,0
Have a great day,0
You are the worst person ever,1
Go away idiot,1
You should disappear,1
Let's work together,0
You are amazing,0
You are so stupid,1
That was a good idea,0
"Shut up, no one cares",1
You are useless,1
I really like this,0
You are a loser,1
You are a loser,1
You are so stupid,1
This is very helpful,0
"Shut up, no one cares",1
You are pathetic,1
You are useless,1
I really like this,0
You are pathetic,1
You are the worst person ever,1
I really like this,0
You are pathetic,1
You did a great job,0
I really like this,0
You are a loser,1
You are pathetic,1
You are the worst person ever,1
You did a great job,0
You are pathetic,1
You did a great job,0
This is very helpful,0
You are useless,1
You are so stupid,1
You are pathetic,1
Go away idiot,1
You are disgusting,1
This is awesome,0
"Shut up, no one cares",1
You are disgusting,1
You are pathetic,1
You are useless,1
You are useless,1
You are amazing,0
You are a loser,1
"Keep going, you can do it",0
I really like this,0
You are a loser,1
You should disappear,1
"Shut up, no one cares",1
You are a loser,1
You are so stupid,1
"Shut up, no one cares",1
"Shut up, no one cares",1
Have a great day,0
I appreciate your effort,0
This is awesome,0
Have a great day,0
This is awesome,0
"Shut up, no one cares",1
Go away idiot,1
You are the worst person ever,1
You are a loser,1
I appreciate your effort,0
Have a great day,0
Nobody likes you,1
"Shut up, no one cares",1
Let's work together,0
"Shut up, no one cares",1
I appreciate your effort,0
You are a loser,1
You are disgusting,1
You are disgusting,1
You should disappear,1
You are the worst person ever,1
You should disappear,1
"Keep going, you can do it",0
You are the worst person ever,1
I really like this,0
You should disappear,1
"Keep going, you can do it",0
You are the worst person ever,1
You are so stupid,1
Go away idiot,1
I appreciate your effort,0
You did a great job,0
I appreciate your effort,0
This is very helpful,0
You are a loser,1
Have a great day,0
I really like this,0
Have a great day,0
You are a loser,1
"Shut up, no one cares",1
You are the worst person ever,1
You are a loser,1
You should disappear,1
You did a great job,0
I really like this,0
You are a loser,1
You are a loser,1
You are amazing,0
I really like this,0
You are useless,1
You are disgusting,1
You are a loser,1
"Keep going, you can do it",0
You are the worst person ever,1
You are a loser,1
I really like this,0
You should disappear,1
You are amazing,0
You did a great job,0
Let's work together,0
You are so stupid,1
You are disgusting,1
I really like this,0
You are disgusting,1
"Shut up, no one cares",1
Have a great day,0
You are disgusting,1
Go away idiot,1
That was a good idea,0
"Shut up, no one cares",1
This is very helpful,0
You are so stupid,1
Let's work together,0
That was a good idea,0
"Keep going, you can do it",0
You are the worst person ever,1
"Shut up, no one cares",1
Nobody likes you,1
You are the worst person ever,1
You are useless,1
That was a good idea,0
I appreciate your effort,0
"Shut up, no one cares",1
You should disappear,1
I appreciate your effort,0
I really like this,0
Let's work together,0
This is very helpful,0
You are a loser,1
You are the worst person ever,1
Have a great day,0
I appreciate your effort,0
This is awesome,0
Let's work together,0
You are pathetic,1
"Keep going, you can do it",0
"Shut up, no one cares",1
You should disappear,1
This is awesome,0
This is very helpful,0
You did a great job,0
You are so stupid,1
Nobody likes you,1
You are a loser,1
You are useless,1
Let's work together,0
I really like this,0
You are a loser,1
That was a good idea,0
You are disgusting,1
You are amazing,0
I appreciate your effort,0
Nobody likes you,1
You are so stupid,1
I really like this,0
You did a great job,0
"Keep going, you can do it",0
I appreciate your effort,0
I appreciate your effort,0
You did a great job,0
Have a great day,0
You are useless,1
You are pathetic,1
Go away idiot,1
Have a great day,0
You should disappear,1
You are a loser,1
You are the worst person ever,1
You are the worst person ever,1
You are pathetic,1
You are pathetic,1
Let's work together,0
"Keep going, you can do it",0
You are useless,1
"Shut up, no one cares",1
Have a great day,0
Let's work together,0
You are disgusting,1
This is awesome,0
Go away idiot,1
You should disappear,1
You are disgusting,1
This is very helpful,0
This is awesome,0
You are disgusting,1
You should disappear,1
Nobody likes you,1
You are amazing,0
You are so stupid,1
Let's work together,0
That was a good idea,0
I really like this,0
This is very helpful,0
This is very helpful,0
You are pathetic,1
You should disappear,1
You are a loser,1
"Keep going, you can do it",0
Let's work together,0
You are pathetic,1
I really like this,0
That was a good idea,0
You did a great job,0
I really like this,0
This is very helpful,0
Have a great day,0
That was a good idea,0
This is very helpful,0
I really like this,0
You are a loser,1
Nobody likes you,1
I appreciate your effort,0
"Keep going, you can do it",0
That was a good idea,0
You did a great job,0
"Keep going, you can do it",0
This is awesome,0
You are pathetic,1
You should disappear,1
This is very helpful,0
Let's work together,0
This is awesome,0
I really like this,0
You are pathetic,1
I really like this,0
You are a loser,1
You are the worst person ever,1
You are pathetic,1
You are amazing,0
"Shut up, no one cares",1
You are amazing,0
You did a great job,0
Have a great day,0
That was a good idea,0
You are amazing,0
You did a great job,0
Nobody likes you,1
"Keep going, you can do it",0
You did a great job,0
You did a great job,0
You are pathetic,1
Let's work together,0
You are useless,1
This is awesome,0
You are so stupid,1
Nobody likes you,1
I appreciate your effort,0
"Shut up, no one cares",1
"Keep going, you can do it",0
You did a great job,0
"Shut up, no one cares",1
Go away idiot,1
You are so stupid,1
You are disgusting,1
You are the worst person ever,1
This is very helpful,0
Have a great day,0
You are useless,1
You are the worst person ever,1
You are amazing,0
Nobody likes you,1
You are the worst person ever,1
You should disappear,1
Have a great day,0
You are amazing,0
That was a good idea,0
Have a great day,0
You should disappear,1
"Shut up, no one cares",1
"Keep going, you can do it",0
Let's work together,0
"Shut up, no one cares",1
You should disappear,1
You did a great job,0
This is very helpful,0
"Keep going, you can do it",0
I appreciate your effort,0
Go away idiot,1
You are amazing,0
You are useless,1
Nobody likes you,1
You are pathetic,1
You are a loser,1
You did a great job,0
You are useless,1
This is very helpful,0
This is awesome,0
You are the worst person ever,1
You are useless,1
This is awesome,0
Nobody likes you,1
"Keep going, you can do it",0
I really like this,0
"Keep going, you can do it",0
"Keep going, you can do it",0
You should disappear,1
You did a great job,0
I really like this,0
Nobody likes you,1
Nobody likes you,1
"Keep going, you can do it",0
You are useless,1
This is awesome,0
You are amazing,0
You are amazing,0
You did a great job,0
This is very helpful,0
Go away idiot,1
You are disgusting,1
You are amazing,0
Have a great day,0
You are useless,1
You are disgusting,1
Let's work together,0
You did a great job,0
Let's work together,0
Go away idiot,1
You are so stupid,1
You are disgusting,1
That was a good idea,0
You are the worst person ever,1
"Shut up, no one cares",1
Let's work together,0
"Shut up, no one cares",1
Go away idiot,1
You should disappear,1
"Keep going, you can do it",0
You did a great job,0
You are the worst person ever,1
You should disappear,1
You are the worst person ever,1
You are a loser,1
You should disappear,1
This is awesome,0
"Shut up, no one cares",1
You are useless,1
You should disappear,1
I appreciate your effort,0
You are so stupid,1
You are so stupid,1
Nobody likes you,1
You are a loser,1
You are pathetic,1
You are amazing,0
"Keep going, you can do it",0
That was a good idea,0
That was a good idea,0
That was a good idea,0
"Keep going, you can do it",0
You are so stupid,1
I really like this,0
You are useless,1
That was a good idea,0
Nobody likes you,1
This is awesome,0
I really like this,0
"Keep going, you can do it",0
This is very helpful,0
Let's work together,0
You are amazing,0
"Shut up, no one cares",1
This is awesome,0
Let's work together,0
You should disappear,1
You are pathetic,1
You are useless,1
I really like this,0
You are disgusting,1
You are pathetic,1
Nobody likes you,1
You are so stupid,1
You are so stupid,1
That was a good idea,0
You are pathetic,1
You are useless,1
"Shut up, no one cares",1
You are amazing,0
You are a loser,1
You are disgusting,1
That was a good idea,0
I appreciate your effort,0
You are a loser,1
You are the worst person ever,1
You should disappear,1
You are amazing,0
You are useless,1
"Shut up, no one cares",1
You did a great job,0
You are useless,1
I appreciate your effort,0
This is very helpful,0
I really like this,0
You are so stupid,1
Have a great day,0
"Shut up, no one cares",1
"Shut up, no one cares",1
You are pathetic,1
"Shut up, no one cares",1
You are pathetic,1
This is very helpful,0
Go away idiot,1
You did a great job,0
You are useless,1
You should disappear,1
Go away idiot,1
You are pathetic,1
Nobody likes you,1
You are disgusting,1
You are pathetic,1
You are a loser,1
You are a loser,1
Go away idiot,1
You are so stupid,1
You are amazing,0
Nobody likes you,1
"Shut up, no one cares",1
I really like this,0
You should disappear,1
This is awesome,0
This is very helpful,0
"Keep going, you can do it",0
I really like this,0
This is awesome,0
That was a good idea,0
I appreciate your effort,0
You are the worst person ever,1
Have a great day,0
You did a great job,0
You are amazing,0
You are amazing,0
This is very helpful,0
You are useless,1
You are amazing,0
Go away idiot,1
I appreciate your effort,0
You did a great job,0
Nobody likes you,1
Let's work together,0
This is awesome,0
Nobody likes you,1
This is awesome,0
You are so stupid,1
"Keep going, you can do it",0
I appreciate your effort,0
I appreciate your effort,0
You are the worst person ever,1
You are so stupid,1
You are a loser,1
You are the worst person ever,1
You are disgusting,1
This is awesome,0
You did a great job,0
"Shut up, no one cares",1
You are useless,1
You are pathetic,1
"Shut up, no one cares",1
"Shut up, no one cares",1
I appreciate your effort,0
That was a good idea,0
You are amazing,0
You are amazing,0
"Shut up, no one cares",1
Have a great day,0
Nobody likes you,1
Go away idiot,1
I appreciate your effort,0
"Keep going, you can do it",0
You are amazing,0
That was a good idea,0
That was a good idea,0
You are so stupid,1
Let's work together,0
You are disgusting,1
"Shut up, no one cares",1
I appreciate your effort,0
You are the worst person ever,1
This is awesome,0
You should disappear,1
You are so stupid,1
You are so stupid,1
You are the worst person ever,1
You are disgusting,1
Nobody likes you,1
You are amazing,0
Go away idiot,1
You are a loser,1
You are disgusting,1
That was a good idea,0
I appreciate your effort,0
You did a great job,0
"Shut up, no one cares",1
You are useless,1
I really like this,0
You are so stupid,1
Let's work together,0
Have a great day,0
You are amazing,0
You should disappear,1
You are so stupid,1
Nobody likes you,1
Go away idiot,1
Have a great day,0
You should disappear,1
This is awesome,0
You should disappear,1
"Shut up, no one cares",1
I appreciate your effort,0
You did a great job,0
You should disappear,1
I really like this,0
You should disappear,1
You are disgusting,1
You are amazing,0
This is awesome,0
You are so stupid,1
I appreciate your effort,0
You are a loser,1
You are the worst person ever,1
Nobody likes you,1
You are disgusting,1
I really like this,0
Nobody likes you,1
This is awesome,0
"Keep going, you can do it",0
You did a great job,0
"Shut up, no one cares",1
Go away idiot,1
You are useless,1
You are useless,1
Let's work together,0
Go away idiot,1
I appreciate your effort,0
Go away idiot,1
This is very helpful,0
This is awesome,0
You should disappear,1
This is awesome,0
You are disgusting,1
This is very helpful,0
Have a great day,0
You should disappear,1
You are useless,1
You are amazing,0
You did a great job,0
You are amazing,0
I appreciate your effort,0
Have a great day,0
You are disgusting,1
I really like this,0
This is awesome,0
That was a good idea,0
You are useless,1
You are useless,1
You are the worst person ever,1
I appreciate your effort,0
You are pathetic,1
You are so stupid,1
You are the worst person ever,1
You are useless,1
You are amazing,0
You are disgusting,1
"Shut up, no one cares",1
Let's work together,0
"Keep going, you can do it",0
You are so stupid,1
This is awesome,0
You should disappear,1
This is awesome,0
You are so stupid,1
You are so stupid,1
I really like this,0
"Keep going, you can do it",0
You did a great job,0
This is very helpful,0
You did a great job,0
You are the worst person ever,1
That was a good idea,0
You are a loser,1
You are disgusting,1
I appreciate your effort,0
You are the worst person ever,1
I appreciate your effort,0
Nobody likes you,1
Go away idiot,1
You are the worst person ever,1
Go away idiot,1
You did a great job,0
You are a loser,1
You are so stupid,1
You should disappear,1
I really like this,0
You are so stupid,1
You are useless,1
You are pathetic,1
"Shut up, no one cares",1
You are disgusting,1
"Shut up, no one cares",1
You did a great job,0
Nobody likes you,1
Have a great day,0
"Keep going, you can do it",0
You are useless,1
You are a loser,1
I really like this,0
You are amazing,0
Let's work together,0
You are pathetic,1
That was a good idea,0
Let's work together,0
You are the worst person ever,1
You should disappear,1
"Shut up, no one cares",1
You are disgusting,1
That was a good idea,0
You are the worst person ever,1
I appreciate your effort,0
I appreciate your effort,0
This is very helpful,0
Let's work together,0
I appreciate your effort,0
You are a loser,1
Nobody likes you,1
You are the worst person ever,1
"Keep going, you can do it",0
You are disgusting,1
You are disgusting,1
You are disgusting,1
You are the worst person ever,1
Let's work together,0
You did a great job,0
You are useless,1
"Shut up, no one cares",1
Have a great day,0
You are useless,1
You are amazing,0
This is awesome,0
You are the worst person ever,1
You are amazing,0
I appreciate your effort,0
"Shut up, no one cares",1
I really like this,0
Have a great day,0
That was a good idea,0
I appreciate your effort,0
Have a great day,0
You are useless,1
That was a good idea,0
You are the worst person ever,1
You are a loser,1
You are amazing,0
Have a great day,0
You are a loser,1
I appreciate your effort,0
I appreciate your effort,0
You are disgusting,1
"Shut up, no one cares",1
You did a great job,0
You are the worst person ever,1
This is very helpful,0
This is very helpful,0
You are so stupid,1
"Shut up, no one cares",1
You did a great job,0
Go away idiot,1
You did a great job,0
"Shut up, no one cares",1
You should disappear,1
You did a great job,0
You should disappear,1
You are a loser,1
You should disappear,1
You are the worst person ever,1
You are disgusting,1
"Shut up, no one cares",1
You are so stupid,1
You are amazing,0
This is awesome,0
You are useless,1
Go away idiot,1
You are pathetic,1
This is very helpful,0
Go away idiot,1
You should disappear,1
Go away idiot,1
You are pathetic,1
This is very helpful,0
You are so stupid,1
Have a great day,0
You are a loser,1
This is awesome,0
You did a great job,0
I really like this,0
You are pathetic,1
I appreciate your effort,0
You did a great job,0
Nobody likes you,1
You are useless,1
Go away idiot,1
You did a great job,0
I really like this,0
This is very helpful,0
You are pathetic,1
You are a loser,1
Let's work together,0
Have a great day,0
You are disgusting,1
Nobody likes you,1
You are disgusting,1
Nobody likes you,1
This is very helpful,0
You are amazing,0
This is very helpful,0
You are useless,1
You are the worst person ever,1
Nobody likes you,1
You are pathetic,1
This is very helpful,0
Go away idiot,1
You are the worst person ever,1
This is awesome,0
You are a loser,1
You are disgusting,1
That was a good idea,0
You are useless,1
You are the worst person ever,1
You are the worst person ever,1
Go away idiot,1
You are so stupid,1
You are useless,1
You are useless,1
This is very helpful,0
You are useless,1
I appreciate your effort,0
You are disgusting,1
"Keep going, you can do it",0
This is very helpful,0
"Shut up, no one cares",1
Go away idiot,1
You are useless,1
That was a good idea,0
You are a loser,1
You are the worst person ever,1
You are amazing,0
You are useless,1
"Keep going, you can do it",0
You are so stupid,1
You should disappear,1
I appreciate your effort,0
You are useless,1
You are a loser,1
This is very helpful,0
You should disappear,1
This is awesome,0
This is awesome,0
Go away idiot,1
I really like this,0
Have a great day,0
"Keep going, you can do it",0
You are a loser,1
You are the worst person ever,1
You are the worst person ever,1
Nobody likes you,1
You are the worst person ever,1
You are pathetic,1
Have a great day,0
You are a loser,1
You should disappear,1
You are pathetic,1
Let's work together,0
I appreciate your effort,0
You are so stupid,1
This is awesome,0
You are pathetic,1
You did a great job,0
You are so stupid,1
This is awesome,0
You are disgusting,1
You are useless,1
You are so stupid,1
"Shut up, no one cares",1
I really like this,0
Have a great day,0
"Shut up, no one cares",1
That was a good idea,0
That was a good idea,0
Have a great day,0
This is awesome,0
I really like this,0
You are amazing,0
"Keep going, you can do it",0
I appreciate your effort,0
Nobody likes you,1
You are amazing,0
You did a great job,0
Have a great day,0
You are so stupid,1
You are a loser,1
You did a great job,0
I really like this,0
I really like this,0
I appreciate your effort,0
You are pathetic,1
You are useless,1
You did a great job,0
You are amazing,0
You are amazing,0
You are so stupid,1
You did a great job,0
Go away idiot,1
I appreciate your effort,0
This is awesome,0
"Shut up, no one cares",1
You are pathetic,1
I appreciate your effort,0
You are so stupid,1
This is very helpful,0
You are pathetic,1
This is very helpful,0
You are amazing,0
You are pathetic,1
That was a good idea,0
You did a great job,0
You are useless,1
You are the worst person ever,1
You are useless,1
I really like this,0
Nobody likes you,1
You are the worst person ever,1
You are amazing,0
You are amazing,0
Nobody likes you,1
You are a loser,1
You are amazing,0
You are pathetic,1
You are a loser,1
You are amazing,0
This is very helpful,0
Let's work together,0
This is awesome,0
You are amazing,0
You are pathetic,1
I really like this,0
You are a loser,1
This is awesome,0
Have a great day,0
You are the worst person ever,1
Nobody likes you,1
Have a great day,0
"Keep going, you can do it",0
You are pathetic,1
You are disgusting,1
You are a loser,1
This is very helpful,0
You are so stupid,1
I appreciate your effort,0
You are so stupid,1
You are pathetic,1
Go away idiot,1
You are so stupid,1
Have a great day,0
I really like this,0
This is very helpful,0
I really like this,0
You are disgusting,1
You are useless,1
Nobody likes you,1
Nobody likes you,1
Nobody likes you,1
"Shut up, no one cares",1
You are pathetic,1
I really like this,0
Nobody likes you,1
That was a good idea,0
You are the worst person ever,1
You are amazing,0
You are the worst person ever,1
You are a loser,1
You are disgusting,1
This is awesome,0
This is very helpful,0
That was a good idea,0
Go away idiot,1
You are so stupid,1
You are a loser,1
This is very helpful,0
"Keep going, you can do it",0
You are disgusting,1
You are disgusting,1
Let's work together,0
You should disappear,1
You are pathetic,1
Let's work together,0
This is very helpful,0
"Shut up, no one cares",1
You are a loser,1
You should disappear,1
That was a good idea,0
You are the worst person ever,1
"Keep going, you can do it",0
Let's work together,0
"Shut up, no one cares",1
This is very helpful,0
Let's work together,0
Go away idiot,1
Nobody likes you,1
"Shut up, no one cares",1
This is very helpful,0
You are the worst person ever,1
You are a loser,1
This is awesome,0
I appreciate your effort,0
Go away idiot,1
You are disgusting,1
Nobody likes you,1
Have a great day,0
That was a good idea,0
You should disappear,1
This is awesome,0
You did a great job,0
That was a good idea,0
You are amazing,0
Have a great day,0
You are so stupid,1
You are amazing,0
This is awesome,0
You are pathetic,1
I really like this,0
I really like this,0
That was a good idea,0
Nobody likes you,1
"Shut up, no one cares",1
You are so stupid,1
I really like this,0
"Keep going, you can do it",0
You are so stupid,1
I appreciate your effort,0
You are so stupid,1
I really like this,0
You are useless,1
"Shut up, no one cares",1
You are amazing,0
Nobody likes you,1
I really like this,0
Have a great day,0
This is awesome,0
You are disgusting,1
That was a good idea,0
Have a great day,0
Have a great day,0
I appreciate your effort,0
You did a great job,0
"Keep going, you can do it",0
That was a good idea,0
"Keep going, you can do it",0
You are useless,1
Go away idiot,1
You are disgusting,1
You are amazing,0
You are amazing,0
This is very helpful,0
You are pathetic,1
"Keep going, you can do it",0
You are the worst person ever,1
"Shut up, no one cares",1
I really like this,0
This is awesome,0
That was a good idea,0
You are pathetic,1
You are disgusting,1
That was a good idea,0
You are pathetic,1
You are amazing,0
Have a great day,0
That was a good idea,0
That was a good idea,0
That was a good idea,0
I appreciate your effort,0
"Shut up, no one cares",1
This is very helpful,0
I appreciate your effort,0
You are useless,1
Go away idiot,1
You are disgusting,1
You are a loser,1
You are pathetic,1
Have a great day,0
You did a great job,0
That was a good idea,0
You are pathetic,1
I appreciate your effort,0
You are useless,1
Let's work together,0
I appreciate your effort,0
You did a great job,0
You should disappear,1
"Keep going, you can do it",0
"Keep going, you can do it",0
You are disgusting,1
Have a great day,0
Nobody likes you,1
I appreciate your effort,0
You did a great job,0
You are the worst person ever,1
Go away idiot,1
You are useless,1
Go away idiot,1
Nobody likes you,1
Nobody likes you,1
You are amazing,0
You are pathetic,1
I really like this,0
You are the worst person ever,1
You are the worst person ever,1
Nobody likes you,1
This is very helpful,0
You are so stupid,1
You are so stupid,1
I really like this,0
That was a good idea,0
You are a loser,1
I appreciate your effort,0
Nobody likes you,1
You are useless,1
Let's work together,0
You are a loser,1
Have a great day,0
You are a loser,1
Let's work together,0
You are a loser,1
You are amazing,0
You are useless,1
You are a loser,1
This is very helpful,0
This is very helpful,0
"Shut up, no one cares",1
You are useless,1
You are useless,1
Nobody likes you,1
You are useless,1
You are disgusting,1
You are a loser,1
Have a great day,0
You are useless,1
This is awesome,0
"Keep going, you can do it",0
You did a great job,0
You are so stupid,1
I appreciate your effort,0
You are pathetic,1
You are the worst person ever,1
"Shut up, no one cares",1
Have a great day,0
You are pathetic,1
Nobody likes you,1
You did a great job,0
You are the worst person ever,1
You should disappear,1
You are disgusting,1
Let's work together,0
You are so stupid,1
That was a good idea,0
This is very helpful,0
"Keep going, you can do it",0
You are so stupid,1
You are so stupid,1
You are disgusting,1
You are pathetic,1
I appreciate your effort,0
You are the worst person ever,1
You are pathetic,1
You are the worst person ever,1
You are pathetic,1
You did a great job,0
You are amazing,0
Have a great day,0
I really like this,0
I appreciate your effort,0
You should disappear,1
"Keep going, you can do it",0
You are the worst person ever,1
You are a loser,1
Have a great day,0
You did a great job,0
You are pathetic,1
Go away idiot,1
You are so stupid,1
Have a great day,0
Go away idiot,1
Let's work together,0
